PRODUCT_ID,PRODUCT_NAME,CLS_FOOD,CLS_ING,MANUAL_LABEL,RULE_LABEL,SEED_LABEL,FINAL_PRED,CONF,LABEL_SOURCE
31354127,[착한낙지] 착한낙지세트 (손질낙지 13팩+ 양념 13팩),1,0,완제품,완제품,완제품,완제품,0.9896347938102382,manual
33484122,더 간편한 육수명장 더진한육수 80gX5팩(총 100알),1,1,식재료,식재료,식재료,식재료,0.9747681014989388,manual
33484123,더 간편한 육수명장 총 120알(더진한육수 80gX3팩+은은한 매운육수 80gX3팩),1,1,식재료,식재료,식재료,식재료,0.9588356374899769,manual
33488513,해통령 시그니처세트 총 75알(진한맛 100g+칼칼한맛 100g+곰탕한알 100g),1,0,완제품,완제품,완제품,완제품,0.986659100197879,manual
33488514,해통령 시그니처세트 총 70알(진한맛 140gX2팩),1,0,완제품,완제품,완제품,완제품,0.9876844962619801,manual
33488515,야채 해물다시팩 150gX5팩(총 50개),1,1,식재료,식재료,식재료,식재료,0.9576559339463303,manual
33488516,디포리 해물다시팩 150gX5팩(총 50봉),1,1,식재료,식재료,식재료,식재료,0.9690012480119411,manual
33488517,더 간편한 육수명장 더 진한 육수 80gX3팩(총 60알),1,1,식재료,식재료,식재료,식재료,0.9759761212024509,manual
33488519,더 간편한 육수명장 총 80알(더 진한 육수 80gX2팩+은은한 매운육수 80gX2팩) ,1,1,식재료,식재료,식재료,식재료,0.9687340763309186,manual
33488521,멸치해물 다시팩 320gX3팩(총 60봉),1,1,식재료,식재료,식재료,식재료,0.9557370899977252,manual
33533368,해통령 육수링 100알(깊고 진한맛 80gX3봉+구수한 사골맛 80gX2봉),1,1,식재료,식재료,식재료,식재료,0.9784090917521744,manual
33533370,해통령 육수링 100알(구수한 사골맛 80gX5봉),1,1,식재료,식재료,식재료,식재료,0.9775003436580478,manual
33533371,해통령 육수링 100알(깊고 진한맛 80gX5봉),1,1,식재료,식재료,식재료,식재료,0.9779587050259307,manual
33545548,해통령 육수링 60알(깊고 진한맛 80gX3봉),1,1,식재료,식재료,식재료,식재료,0.9771084589027655,manual
33595806,강원도 감자 옹심이 150gX8팩+옹심이 소스 20gX8팩,1,0,완제품,식재료,완제품,완제품,0.641323528184918,manual
33728532,홀베리 1일 1레몬 유기농 레몬즙 6박스(총 84포),1,1,식재료,,식재료,식재료,0.9811998895045018,manual
33769560,홀베리 1일 1레몬 유기농 레몬즙 6박스(총 84포),1,1,식재료,,식재료,식재료,0.9811998895045018,manual
33769662,정호영 푸짐한 동태알탕 300gX4팩+해물육수 250gX4팩+양념소스 250gX4팩,1,0,완제품,완제품,완제품,완제품,0.9947549828217502,manual
33801831,하림 닭다리살 양념구이 140gX14팩(마일드맛 7팩+매콤한맛 7팩),1,1,식재료,식재료,식재료,식재료,0.9769907703765842,manual
33855745,어부예찬 촉촉오징어 왕특대 8미(2미X4봉)+오징어채 2봉(50gX2),1,1,식재료,식재료,식재료,식재료,0.9681630609449607,manual
33855921,어부예찬 촉촉오징어 왕특대 4미(2미X2봉)+오징어채 1봉(50g),1,1,식재료,식재료,식재료,식재료,0.9692367197283355,manual
33962918,한경희 건강식 두유 죽 메이커 HESR-D5000,1,0,완제품,완제품,완제품,완제품,0.9853354949463388,manual
33983065,정식품 담백한 베지밀 에이 검은콩두유 80팩,1,1,식재료,식재료,식재료,식재료,0.9799626984036042,manual
33983095,정식품 달콤한 베지밀 비 검은콩두유 80팩,1,1,식재료,식재료,식재료,식재료,0.980343188032736,manual
34001762,하림 뼈없는 양념닭발 3팩+근위볶음이 2팩,1,1,식재료,식재료,식재료,식재료,0.9802139613822312,manual
34080305,목우촌 흑마늘 훈제오리 180gX12팩,1,1,식재료,식재료,식재료,식재료,0.9802628087642126,manual
34084816,한만두 199세트 총10봉(갈비만두X2+왕만두X2+왕교자X2+김치왕교자X2+미니전병X2),1,0,완제품,완제품,완제품,완제품,0.9920879552328848,manual
34086600,완도활전복 특특대 15미 (91~105g),1,1,식재료,,식재료,식재료,0.9725043687190961,manual
34280413,삼육두유 검은콩과 칼슘 40팩(190mlX20팩X2박스),1,1,식재료,식재료,식재료,식재료,0.9779870574375709,manual
34281135,삼육두유 40팩(190mlX20팩X2박스),1,1,식재료,,식재료,식재료,0.9701332896050019,manual
34302419,유정임 돌산갓김치 3kg,1,1,식재료,,식재료,식재료,0.9727678028878802,manual
34302430,실속활전복 20미 (50~60g),1,1,식재료,,식재료,식재료,0.9729424603961978,manual
34397728,알배기 간장 꽃게장 6통+양념 꽃게장 2통,1,0,완제품,완제품,완제품,완제품,0.9890108894506641,manual
34421075,해통령 육수명장 분말스틱 185포(무료체험 5포 포함),1,1,식재료,식재료,식재료,식재료,0.9782763875261159,manual
34421115,해통령 육수명장 분말스틱 185포(무료체험 5포 포함),1,1,식재료,식재료,식재료,식재료,0.9782763875261159,manual
34421709,The미식 장인라면 얼큰한맛(116gX4개입)X2봉+The미식 장인라면 담백한맛(113gX4개입)X1봉+The미식 백미밥 210gX3개,1,0,완제품,완제품,완제품,완제품,0.9999129227631961,manual
34423171,The미식 장인라면 얼큰한맛(116gX4개입)X3봉+The미식 백미밥 210gX3개,1,0,완제품,완제품,완제품,완제품,0.9905778245052702,manual
34423178,The미식 장인라면 담백한맛(113gX4개입)X3봉+The미식 백미밥 210gX3개,1,0,완제품,완제품,완제품,완제품,0.9905676445783893,manual
34442854,주원산 훈제오리슬라이스 150gX12팩,1,1,식재료,,식재료,식재료,0.9715029399575407,manual
34442875,주원산 훈제오리슬라이스 150gX9팩 ,1,1,식재료,,식재료,식재료,0.9682245333320233,manual
34442876,주원산 훈제오리슬라이스 150gX6팩 ,1,1,식재료,,식재료,식재료,0.970660132591277,manual
34442908,주원산 훈제오리슬라이스 150gX12팩+싸먹는 오리슬라이스 80gX4팩 ,1,1,식재료,,식재료,식재료,0.9711900627275026,manual
34443155,하림 뼈없는 닭발 200gX7팩+소스100gX7팩,1,1,식재료,,식재료,식재료,0.9660077487511288,manual
